Item No.,Item Description,Ref Standard,Pack,In Stock,InTransit Qty,Special  Price euro/1000,ETA Date
064216150DS-01,ISO 10642 M16x150 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,25,2725,0,524.31,
064224190DS-01,ISO 10642 M24x190 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,10,2230,0,1555.37,
064204035DS-01,ISO 10642 M4x35 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,500,4500,0,11.85,
064208055BS-03,ISO 10642 M8x55 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,10100,0,46.52,
064220150BS-01,ISO 10642 M20x150 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,10,1040,0,829.35,
064208060BS-03,ISO 10642 M8x60 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,200,13200,0,51.62,
064212080BS-03,ISO 10642 M12x80 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,7300,0,149.43,
064208120DS-01,ISO 10642 M8x120 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,100,10200,0,118.90,
064210045BS-03,ISO 10642 M10x45 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,17100,0,56.40,
064212020BS-03,ISO 10642 M12x20 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,8400,0,44.12,
064208120DS-03,ISO 10642 M8x120 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,4000,0,115.85,
064208140BS-03,ISO 10642 M8x140 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,3200,0,133.20,
064216035DS-03,ISO 10642 M16x35 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,50,7400,0,124.83,
064216140BS-03,ISO 10642 M16x140 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,25,3000,0,464.12,
064206060DS-03,ISO 10642 M6x60 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,6000,0,28.15,
064205035BS-03,ISO 10642 M5x35 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,200,19400,0,11.30,
064220085BS-01,ISO 10642 M20x85 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,2425,0,455.29,
064214035DS-03,ISO 10642 M14x35 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,50,12000,0,96.19,
064224130DS-03,ISO 10642 M24x130 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,10,1330,0,989.66,
064208060DS-03,ISO 10642 M8x60 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,16000,0,53.01,
064214050BS-01,ISO 10642 M14x50 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,4400,0,128.25,
064212025BS-03,ISO 10642 M12x25 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,100,18300,0,51.62,
064214060BS-01,ISO 10642 M14x60 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,5200,0,153.90,
064208050DS-01,ISO 10642 M8x50 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,200,18400,0,43.66,
064212130BS-01,ISO 10642 M12x130 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,50,2750,0,248.59,
064224190DS-03,ISO 10642 M24x190 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,10,1560,0,1515.49,
064224055BS-01,ISO 10642 M24x55 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,25,1550,0,414.68,
064216120DS-03,ISO 10642 M16x120 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,25,2975,0,408.26,
064206065DS-03,ISO 10642 M6x65 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,22400,0,30.48,
064214045DS-01,ISO 10642 M14x45 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,50,21900,0,120.66,
064208080DS-03,ISO 10642 M8x80 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,21700,0,73.96,
064216075DS-01,ISO 10642 M16x75 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,25,4150,0,261.06,
064212130BS-03,ISO 10642 M12x130 COUNTERSUNK SCREW 08.8 BLK,ISO 10642,50,3300,0,242.05,
064220110BS-01,ISO 10642 M20x110 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,10,1840,0,598.50,
064210120DS-01,ISO 10642 M10x120 COUNTERSUNK SCREW 010.9 ZNW,ISO 10642,50,5400,0,150.71,
064206100DS-03,ISO 10642 M6x100 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,100,6600,0,46.79,
064205060DS-03,ISO 10642 M5x60 COUNTERSUNK SCREW 010.9 BLK,ISO 10642,200,12000,0,22.45,
064208120BS-01,ISO 10642 M8x120 COUNTERSUNK SCREW 08.8 ZNW,ISO 10642,100,6350,0,115.85,
